Year to,Expected cash flows (£) in relation to benefits accrued at 31 March 2017,Expected cash flows (£) in relation to benefits projected to be accrued in 2017/18 year
31 March 2018,1944605935,21650060
31 March 2019,1783566459,9019050
31 March 2020,1830738684,11007748
31 March 2021,1883082644,13061927
31 March 2022,1945749712,15388172
31 March 2023,2003982492,17409095
31 March 2024,2071733746,19994856
31 March 2025,2146018247,22970165
31 March 2026,2229662638,26171814
31 March 2027,2303103165,29354506
31 March 2028,2392993020,33242428
31 March 2029,2484743788,37269075
31 March 2030,2567758061,41334199
31 March 2031,2651191441,45767830
31 March 2032,2726064192,50083209
31 March 2033,2799334012,54831633
31 March 2034,2877928953,60135259
31 March 2035,2937950674,65151557
31 March 2036,3008806050,70751933
31 March 2037,3065003341,76821889
31 March 2038,3109307385,82554676
31 March 2039,3143095872,88339936
31 March 2040,3164928239,94187687
31 March 2041,3175653453,100419852
31 March 2042,3192667441,107503833
31 March 2043,3178397667,113745191
31 March 2044,3162861167,120621711
31 March 2045,3134169081,127646174
31 March 2046,3081227667,133652282
31 March 2047,3018670190,139396174
31 March 2048,2945494612,144065895
31 March 2049,2862231837,148260142
31 March 2050,2773231729,152196074
31 March 2051,2678675393,155105188
31 March 2052,2580555657,157192065
31 March 2053,2480258354,158295834
31 March 2054,2376392072,157806671
31 March 2055,2274232571,156511192
31 March 2056,2171881801,153971879
31 March 2057,2071792568,151417272
31 March 2058,1973970927,149244634
31 March 2059,1877464162,146859253
31 March 2060,1782898747,144303288
31 March 2061,1690244214,141709060
31 March 2062,1599578816,139204137
31 March 2063,1510768220,136641180
31 March 2064,1423982835,133994934
31 March 2065,1339084010,131242906
31 March 2066,1256377213,128402965
31 March 2067,1175738824,125454138
31 March 2068,1097288418,122385974
31 March 2069,1019541185,119015503
31 March 2070,943091945,115358175
31 March 2071,868139332,111406885
31 March 2072,795078469,107170165
31 March 2073,724071526,102642696
31 March 2074,655599729,97849128
31 March 2075,589801611,92792350
31 March 2076,526989156,87496495
31 March 2077,467292254,81975455
31 March 2078,411101458,76279598
31 March 2079,358530500,70440071
31 March 2080,309811556,64512623
31 March 2081,265013112,58543694
31 March 2082,224352534,52614077
31 March 2083,187803025,46781893
31 March 2084,155375968,41122701
31 March 2085,126934189,35696021
31 March 2086,102394660,30580893
31 March 2087,81496760,25825807
31 March 2088,63987162,21481573
31 March 2089,49528470,17575290
31 March 2090,37816514,14135972
31 March 2091,28477308,11161550
31 March 2092,21167945,8643769
31 March 2093,15542202,6555130
31 March 2094,11302219,4865901
31 March 2095,8160025,3530051
31 March 2096,5874875,2500868
31 March 2097,4238495,1727440
31 March 2098,3086912,1163286
31 March 2099,2284553,762614
31 March 2100,1729607,486411
31 March 2101,1345718,301668
31 March 2102,1077675,181846
31 March 2103,886760,106516
31 March 2104,746635,60636
31 March 2105,639498,33531
31 March 2106,554163,18049
31 March 2107,483141,9450
31 March 2108,421885,4811
31 March 2109,367501,2378
31 March 2110,318441,1144
31 March 2111,273619,535
31 March 2112,232501,243
31 March 2113,194771,107
31 March 2114,160422,45
31 March 2115,129436,18
31 March 2116,101990,7
31 March 2117,78204,3
