Year,Term,Discount rate for 2020 valuation with UUK cuts (1-year forward) cpi-basis
2021,1,-0.0006
2022,2,-0.0006
2023,3,-0.0006
2024,4,-0.0006
2025,5,-0.0006
2026,6,-0.0006
2027,7,-0.0006
2028,8,-0.0006
2029,9,-0.0006
2030,10,-0.0006
2031,11,-0.0006
2032,12,-0.0006
2033,13,-0.0006
2034,14,-0.0006
2035,15,-0.0006
2036,16,-0.0006
2037,17,-0.0006
2038,18,-0.0006
2039,19,-0.0006
2040,20,-0.0006
2041,21,-0.0006
2042,22,-0.0006
2043,23,-0.0006
2044,24,-0.0006
2045,25,-0.0006
2046,26,-0.0006
2047,27,-0.0006
2048,28,-0.0006
2049,29,-0.0006
2050,30,-0.0006
2051,31,-0.0006
2052,32,-0.0006
2053,33,-0.0006
2054,34,-0.0006
2055,35,-0.0006
2056,36,-0.0006
2057,37,-0.0006
2058,38,-0.0006
2059,39,-0.0006
2060,40,-0.0006
2061,41,-0.0006
2062,42,-0.0006
2063,43,-0.0006
2064,44,-0.0006
2065,45,-0.0006
2066,46,-0.0006
2067,47,-0.0006
2068,48,-0.0006
2069,49,-0.0006
2070,50,-0.0006
